product,image_name,source_reference,sha256,dataset_label,image_latitude,image_longitude,image_timestamp,cyclone_id,cyclone_name,ibtracs_timestamp,ibtracs_latitude,ibtracs_longitude,ibtracs_wind_knots,ibtracs_pressure_hpa,match_distance_deg,match_method,match_confidence,notes
reference,101.jpeg,101.jpeg,6c784cace01099f640e6b4c9eedf595866fce091082311e6a5ed65a4b4fac1ea,101.0,17.95,85.9,2013-10-12 04:00:00,2013281N12098,PHAILIN,2013-10-12 06:00:00,18.05,85.75,115.0,940.0,0.1742,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,102.jpeg,102.jpeg,84285b0faf8736249e128e1c5a54e4499cdf4573b1e119b2548f7341e149eac5,102.0,17.9,86.2,2013-10-12 02:00:00,2013281N12098,PHAILIN,2013-10-12 03:00:00,17.7462,86.0499,115.0,940.0,0.2099,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,106.jpeg,106.jpeg,c50cf71245d290dd6bedcb9d4b09664c063457ba0e8731e2c3262c8ff765b2a6,106.0,13.48,55.74,2018-05-24 03:30:00,2018136N11054,MEKUNU:SAGAR,2018-05-24 03:00:00,13.3212,55.5287,75.0,972.0,0.2597,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,111.jpeg,111.jpeg,667cbb33b5334d6002c9c163a7b1fce875434e56b79f57dd7e80cdd3738aefa3,111.0,13.09,84.95,2013-11-27 03:30:00,2013324N07103,LEHAR,2013-11-27 09:00:00,13.9536,85.5211,65.0,984.0,1.0272,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,112.jpeg,112.jpeg,56c4019f8480b15f6e5f9ff7f0af09a1904751921dee1ab9f6fcc8207c1252c7,112.0,14.03,83.66,2019-05-01 03:30:00,2019116N02090,FANI,2019-05-01 03:00:00,14.0675,83.985,95.0,957.0,0.3175,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,115.jpeg,115.jpeg,b00c770cc2d064e8ca6afa1fcde49a1de94fee543e405835df141a23f36d5e74,115.0,17.3,84.8,2014-10-11 22:14:00,2014279N11096,HUDHUD,2014-10-11 21:00:00,16.8,84.3899,100.0,952.0,0.6351,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,118.jpeg,118.jpeg,30ae1381a7edf2baff45076db8f86f0b831a9cacd1a7cffcddfd76edea685ffe,118.0,16.27,85.81,,2020285N15087,NOT_NAMED,2020-10-11 12:00:00,15.5,85.4,25.0,998.0,0.8648,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,119.jpeg,119.jpeg,dfa6277001643e87f97492859b62e1bb44319ddf55a221df971edfdb62187aae,119.0,20.29,86.79,,2020296N19087,NOT_NAMED,2020-10-22 15:00:00,19.9274,87.4279,,,0.6996,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,128.jpeg,128.jpeg,ed7dc5018393cfab7751611a95a109718ca79ff0fabc607934a49fef07374ff5,128.0,15.06,54.16,2018-05-25 03:00:00,2018136N11054,MEKUNU:SAGAR,2018-05-25 00:00:00,15.2,54.6,85.0,968.0,0.4474,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,25.jpeg,25.jpeg,7c83f60171f19f24a65a6f30ec8fab4200399958b7af7531ae5e7f2542f01da1,25.0,10.65,80.51,2013-12-12 04:00:00,2013339N09084,MADI,2013-12-12 09:00:00,10.8773,80.8413,25.0,1000.0,0.3971,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,27.jpeg,27.jpeg,bd1d1c4148aff13697417b083b808c9b689cdc91566888503ca389833910f89c,27.0,13.76,64.49,2015-11-05 07:44:00,2015309N14067,MEGH,2015-11-05 09:00:00,14.0129,64.3169,,,0.3037,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,28.jpeg,28.jpeg,251aaaa43204482eb73f262ec78e24303c64dce6d4969f3946a0dcdb63a66bac,28.0,10.31,52.1,2020-11-22 08:30:00,2020326N11063,GATI,2020-11-22 09:00:00,10.3924,51.9851,65.0,982.0,0.1399,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,30(1).jpeg,30(1).jpeg,141a0fda9906d8a60e089fe37131e6bc2248201a1faf8aed956a6e60bbb92372,30.0,9.0,80.1,2020-12-03 02:30:00,2020335N06090,BUREVI,2020-12-03 03:00:00,9.14245,80.36,40.0,998.0,0.2937,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,30.jpeg,30.jpeg,73f3ba1d51f6fd1e97e53c6c73fe958f20297379774dfbeaa76c3a2ed1a58bc0,30.0,12.96,84.83,2018-11-14 03:00:00,2018314N12093,GAJA,2018-11-14 06:00:00,12.8,84.95,45.0,996.0,0.1982,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,31.jpeg,31.jpeg,c72a9f8bbe15f708cd98caf6e412d79f1d3ae5cc9bbb1b4b6cefc9604e104ffc,31.0,15.25,83.73,2013-12-11 03:30:00,2013339N09084,MADI,2013-12-11 00:00:00,14.4,84.1,40.0,996.0,0.9219,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,32(1).jpeg,32(1).jpeg,eed267b693fbee2f2292e14909b524718927db56ef9e7db22ddc4246185ad2e4,32.0,22.7,68.15,2021-09-30 09:30:00,2021267N18094,GULAB:SHAHEEN-GU,2021-09-30 06:00:00,22.6286,68.2571,25.0,998.0,0.1219,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,32.jpeg,32.jpeg,50e74152f460fd3456ae6fa1868de5c5e412d9a7e162e8f0ecd117de95836343,32.0,13.04,61.74,2015-11-06 03:45:00,2015309N14067,MEGH,2015-11-06 09:00:00,13.15,61.55,45.0,994.0,0.2153,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,33(1).jpeg,33(1).jpeg,bba34447ae3dd3a2f106ade379413203250d040d6482391c80b99ce8198d3dc6,33.0,8.1,53.1,2019-12-06 03:30:00,2019335N05058,PAWAN,2019-12-06 03:00:00,8.14246,53.1113,35.0,999.0,0.0439,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,33(2).jpeg,33(2).jpeg,e0439ca669463b35920144f5386c3f5e7e2675de1a2d803860d0f8223491d63d,33.0,7.8,86.2,2020-12-01 03:30:00,2020335N06090,BUREVI,2020-12-01 00:00:00,7.4,86.1,30.0,1000.0,0.4121,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,33.jpeg,33.jpeg,40cb0d7d6d67616a6382639c310b751f642f6c413a1360c6c65312fcab68537d,33.0,15.57,84.28,2013-12-11 09:00:00,2013339N09084,MADI,2013-12-11 03:00:00,14.1037,83.8288,30.0,998.0,1.5294,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,34(!).jpeg,34(!).jpeg,383f9e89016c5ef6b9b801eae7ec4acbe2a8ddcc5acd52086b8ebf4ad5700726,,17.94,88.07,2018-09-20 07:00:00,2018263N17089,DAYE,2018-09-20 06:00:00,17.55,87.0,30.0,995.0,1.0901,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,34.jpeg,34.jpeg,4c1841d62266135cf1523d724630613e3c86aa36bda6f1c77e4719f185c1a4fe,34.0,16.33,81.33,2013-11-28 03:30:00,2013324N07103,LEHAR,2013-11-28 09:00:00,15.4532,81.3717,25.0,1002.0,0.8777,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,35(1).jpeg,35(1).jpeg,c67030f772bbbc37661cae7b58e2b040428c9ad6f4e54d60a7dea0bc251e7854,35.0,13.16,59.5,2015-11-07 02:45:00,2015309N14067,MEGH,2015-11-07 03:00:00,12.7674,59.6362,45.0,994.0,0.4144,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,35(2).jpeg,35(2).jpeg,730f8d5fceec7c4dec8ebe9f4cff45896b192f970b136055cc79301a32ba0d89,35.0,10.99,82.07,2018-11-15 08:30:00,2018314N12093,GAJA,2018-11-15 06:00:00,11.25,82.15,55.0,990.0,0.2716,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,35(3).jpeg,35(3).jpeg,94fb3663d5808aaedb85e920233b3832f4865926a50c537b88ed032740fa049a,35.0,22.7,69.55,2021-09-30 04:00:00,2021267N18094,GULAB:SHAHEEN-GU,2021-09-30 00:00:00,22.62,69.26,25.0,998.0,0.2792,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,35.jpeg,35.jpeg,568f021e53b1f90f4dbcc74544c504fd793da1888da4ad80e38278577250f00d,35.0,13.99,64.77,,2015309N14067,MEGH,2015-11-05 06:00:00,14.0429,64.8,30.0,1002.0,0.0604,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,36(1).jpeg,36(1).jpeg,1b3f44eb114b53e4df4af080a90c618519a75d02e3fc7159f1b10db5b424f8f3,36.0,10.58,80.41,2016-12-01 01:00:00,2016335N07088,NADA,2016-12-01 06:00:00,10.5,81.25,30.0,1003.0,0.8296,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,36(2).jpeg,36(2).jpeg,9704af864db8f8e78ad80c34b3db2b4ce47ee095fd19fc7ee545214158e54063,36.0,6.97,56.51,2019-12-03 04:00:00,2019335N05058,PAWAN,2019-12-03 06:00:00,6.9,56.85,30.0,1000.0,0.3447,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,36(3).jpeg,36(3).jpeg,26847bc327beb26e74a3839277da61e9b5e33e1479d35ef4b5fecc96e793d03a,36.0,9.64,56.21,2019-12-05 03:00:00,2019335N05058,PAWAN,2019-12-05 06:00:00,9.4,56.05,35.0,999.0,0.2872,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,36.jpeg,36.jpeg,d7898a44a7104878e90f6de54f8a78f01912ae9dcbdb6908dbe89e7da147bd23,36.0,14.68,47.64,2015-11-03 02:45:00,2015301N11065,CHAPALA,2015-11-03 06:00:00,14.05,47.85,45.0,996.0,0.6619,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,37.jpeg,37.jpeg,3c521a56e9812464a121b0b50f71777765f8ff58fd526abb2d42859802084449,37.0,12.87,85.25,2014-11-07 03:44:00,2014309N13088,NOT_NAMED,2014-11-07 09:00:00,14.2078,87.492,,,2.5626,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
